left_speed,right_speed,time
0.14961487671716345,0.15038512328283657,1760610504.5527828
0.14962345825423998,0.15037654174576,1760610504.5627203
0.149631846466686,0.150368153533314,1760610504.5702138
0.1496235012830499,0.1503764987169501,1760610504.5782082
0.14961441691439878,0.1503855830856012,1760610504.586338
0.1496230069890006,0.1503769930109994,1760610504.5943913
0.14959672612752842,0.15040327387247157,1760610504.6017427
0.14960571332010422,0.15039428667989577,1760610504.6117072
0.14961449802840132,0.15038550197159867,1760610504.6209488
0.14960691151681182,0.15039308848318816,1760610504.6293216
0.1496167660979035,0.15038323390209649,1760610504.6374624
0.14960917417227632,0.1503908258277237,1760610504.6455007
0.14958382078091945,0.15041617921908057,1760610504.653038
0.14959309624819755,0.15040690375180246,1760610504.6625984
0.14960216272462346,0.15039783727537656,1760610504.6710742
0.14961213572751783,0.15038786427248219,1760610504.6794457
0.1496037950946451,0.1503962049053549,1760610504.6880455
0.14959684158936712,0.1504031584106329,1760610504.696067
0.149605822543696,0.15039417745630398,1760610504.7048283
0.1495810886559218,0.15041891134407823,1760610504.71405
0.14959159366444552,0.15040840633555447,1760610504.7216203
0.14960183235871663,0.1503981676412834,1760610504.7285643
0.1495940263119796,0.1504059736880204,1760610504.736823
0.14960306940877172,0.15039693059122827,1760610504.7445562
0.14959529580217729,0.15040470419782273,1760610504.754861
0.15036524618031696,0.14963475381968303,1760610504.763498
0.15035608589615432,0.14964391410384567,1760610504.7710648
0.15034715785608097,0.14965284214391902,1760610504.7801292
0.14952302489231964,0.15047697510768038,1760610504.7894094
0.14953365066286778,0.1504663493371322,1760610504.7960367
0.14953032552905987,0.15046967447094015,1760610504.8061566
0.14950847462803718,0.15049152537196284,1760610504.813693
0.14951942933838797,0.15048057066161205,1760610504.8207047
0.14953013722208566,0.15046986277791433,1760610504.8286707
0.14954060388694643,0.15045939611305356,1760610504.8381393
0.14953473494013086,0.15046526505986912,1760610504.845655
0.14952909256878175,0.15047090743121824,1760610504.8549864
0.14954089827089495,0.15045910172910504,1760610504.8615096
0.14953517291201018,0.15046482708798983,1760610504.8711126
0.1495455270731123,0.15045447292688768,1760610504.877693
0.14952399287772034,0.15047600712227968,1760610504.8872378
0.14953459962756546,0.15046540037243455,1760610504.8936799
0.14954496742731876,0.15045503257268122,1760610504.902413
0.1495393628757458,0.15046063712425423,1760610504.9114337
0.14954962370165137,0.15045037629834862,1760610504.9213166
0.149545226288429,0.150454773711571,1760610504.9299946
0.1495268176006452,0.15047318239935478,1760610504.9370472
0.14953736217391012,0.1504626378260899,1760610504.9445705
0.14954766918452064,0.15045233081547937,1760610504.9534278
0.1495422924510208,0.15045770754897922,1760610504.960507
0.14955248876553667,0.15044751123446332,1760610504.9697974
0.14954706158916165,0.15045293841083837,1760610504.9776893
0.14955715081404417,0.15044284918595585,1760610504.9859517
0.14953646214722413,0.15046353785277589,1760610504.9942331
0.14954679093319814,0.15045320906680187,1760610505.00171
0.1495568870330647,0.1504431129669353,1760610505.0113134
0.14955279906304056,0.15044720093695943,1760610505.0200348
0.14954889996870746,0.15045110003129256,1760610505.0294352
0.14955894929497995,0.15044105070502006,1760610505.0373993
0.14954123472036668,0.15045876527963334,1760610505.0446346
0.14955145758488003,0.15044854241511996,1760610505.0530436
0.14956145014213504,0.15043854985786495,1760610505.0625563
0.1503536712500075,0.1496463287499925,1760610505.0699124
0.1503448053485116,0.14965519465148838,1760610505.0776243
0.14952081855034177,0.15047918144965822,1760610505.0862556
0.14950205652509635,0.15049794347490364,1760610505.0951674
0.14951315391307649,0.15048684608692353,1760610505.10239
0.1495240012659649,0.1504759987340351,1760610505.1108096
0.14953460426435608,0.1504653957356439,1760610505.1193328
0.15032855727082237,0.14967144272917765,1760610505.126652
0.15030255096877237,0.14969744903122761,1760610505.1368594
0.1502958111559464,0.14970418884405362,1760610505.1433768
0.14945816046643218,0.15054183953356784,1760610505.153479
0.1494702343782063,0.1505297656217937,1760610505.1626482
0.14948351550055755,0.15051648449944244,1760610505.171172
0.1494820651658847,0.15051793483411532,1760610505.1787283
0.1502776452243435,0.1497223547756565,1760610505.1876712
0.1502714599704605,0.1497285400295395,1760610505.194905
0.14945041604635262,0.1505495839536474,1760610505.2043624
0.14946265829824715,0.15053734170175287,1760610505.2124684
0.14944782650174426,0.15055217349825575,1760610505.2193956
0.14946013016985302,0.150539869830147,1760610505.2295551
0.1494721566643095,0.1505278433356905,1760610505.2391217
0.14947131583646564,0.15052868416353438,1760610505.2484186
0.1494705777135315,0.1505294222864685,1760610505.257468
0.1494853290591763,0.15051467094082369,1760610505.2671285
0.1494704455364185,0.1505295544635815,1760610505.2757301
0.14948372426471795,0.15051627573528206,1760610505.2828207
0.14949666637867703,0.15050333362132298,1760610505.2906644
0.14949405844956962,0.15050594155043037,1760610505.2984986
0.14949159229808962,0.1505084077019104,1760610505.3088746
0.14950291827343135,0.15049708172656867,1760610505.3158019
0.14948811425561673,0.1505118857443833,1760610505.3237906
0.14949952116762355,0.15050047883237644,1760610505.3325772
0.14951067109146163,0.15048932890853836,1760610505.3416197
0.14950801779835352,0.1504919822016465,1760610505.3497179
0.14952035117086326,0.15047964882913675,1760610505.3596802
0.14951886523080407,0.15048113476919595,1760610505.367182
0.1495041708659328,0.1504958291340672,1760610505.3748388
0.14951522077348214,0.15048477922651787,1760610505.3844764
0.14952602172195453,0.15047397827804548,1760610505.394181
0.149524599642595,0.150475400357405,1760610505.4011955
0.1495365178247653,0.1504634821752347,1760610505.4107306
0.14953358492827654,0.15046641507172348,1760610505.418653
0.149519020338958,0.150480979661042,1760610505.4277053
0.1495297400929543,0.15047025990704568,1760610505.4361374
0.14954284570669202,0.15045715429330797,1760610505.4450524
0.1495530287103286,0.1504469712896714,1760610505.4525573
0.14954989623464193,0.15045010376535808,1760610505.4616055
0.14954691243523144,0.15045308756476858,1760610505.4697647
0.14955827076236972,0.1504417292376303,1760610505.477293
0.14954228644301934,0.15045771355698065,1760610505.48476
0.1495524858507301,0.1504475141492699,1760610505.4948788
0.1495624554799935,0.1504375445200065,1760610505.5024164
0.14956058203397463,0.1504394179660254,1760610505.5096245
0.14957037016803776,0.15042962983196226,1760610505.51983
0.14956714703111804,0.15043285296888198,1760610505.5276883
0.14956527778340614,0.15043472221659385,1760610505.5371363
0.14957617559774336,0.15042382440225666,1760610505.545201
0.14958561419452573,0.15041438580547428,1760610505.5531068
0.1495959966357388,0.1504040033642612,1760610505.5624306
0.14960498895039143,0.15039501104960856,1760610505.5712347
0.1496148805919253,0.1503851194080747,1760610505.5804188
0.14962452174160246,0.15037547825839756,1760610505.5894992
0.14963391879692056,0.15036608120307943,1760610505.596992
0.14964307799086807,0.15035692200913195,1760610505.6050856
0.1496510110325974,0.15034898896740262,1760610505.614269
0.14965876570517006,0.15034123429482996,1760610505.6210105
0.14966729622252808,0.15033270377747193,1760610505.6310785
0.14967468485226257,0.15032531514773742,1760610505.6393216
0.14968190745853557,0.15031809254146444,1760610505.6486132
0.14968985281194347,0.15031014718805655,1760610505.6571395
0.14969759734890256,0.15030240265109746,1760610505.6636546
0.14970430533780177,0.15029569466219822,1760610505.6738286
0.14971086272887693,0.15028913727112309,1760610505.680625
0.14971807646990773,0.1502819235300923,1760610505.6884046
0.14972432479550637,0.15027567520449364,1760610505.6964312
0.14973043293443017,0.15026956706556985,1760610505.7062008
0.1497364040607477,0.15026359593925231,1760610505.7134461
0.1497422412761365,0.15025775872386352,1760610505.7209442
0.14974794761154395,0.15025205238845607,1760610505.7303154
0.14975352602880995,0.15024647397119006,1760610505.738581
0.14975966305458846,0.15024033694541156,1760610505.7460012
0.1497649789391395,0.1502350210608605,1760610505.7535734
